Pos	Strand	Score
-604063	+	6.5734
-604045	+	5.7870
-603811	-	7.1879
-603798	-	5.2238
-603590	-	5.1244
-603520	-	6.0483
-603513	+	6.7198
-603476	-	5.2238
-603040	-	5.7856
-603014	+	5.9029
-602998	+	6.3120
-602995	-	5.1755
-602944	+	6.3120
-602347	-	6.2487
-602197	+	5.6392
-602114	+	5.8459
-601651	-	7.7067
-601532	-	5.8293
-601425	+	6.9547
-601231	+	6.7738
-601211	+	5.3778
-601164	-	6.5100
-600331	-	6.9191
-599549	-	7.0985
-599523	+	5.8459
-599246	-	5.8293
-598724	-	11.9790
-598437	-	5.8396
-598430	-	6.2550
-598148	+	6.5100
-597998	-	5.0337
-597955	-	6.0483
-597936	-	5.9924
-597929	+	5.7856
-597810	-	5.0950
-597381	+	7.4148
-597362	+	7.1713
-597317	-	6.5175
-597088	-	6.9812
-596139	+	9.5077
-595282	+	5.0350
-595118	+	5.3208
-595028	-	7.8520
-594604	+	6.5734
-593801	+	6.6628
-593789	+	5.0337
-593704	+	6.7724
-593383	-	9.5077
-593169	+	9.4538
-593145	-	6.7738
-592743	+	7.1511
-592626	-	5.8396
-592428	-	6.4574
-590943	+	5.0876
-590277	+	6.5734
-590258	-	9.7702
-590089	-	5.3208
-589523	+	8.5196
-589518	-	6.4561
-589275	+	6.7622
-589019	-	9.5064
-588494	-	5.7870
-588486	-	5.6392
-588476	-	6.5734
-587705	-	6.5734
-587679	+	5.7856
-587023	+	5.7856
-586710	-	8.3122
-586517	-	5.1244
-586468	-	11.4895
-585876	-	9.2451
-585718	-	5.7856
-585692	+	6.5734
-585625	+	10.5871
-585094	-	12.9132
-584794	-	6.0470
-584346	-	6.9191
-584334	+	11.2575
-584280	+	6.5456
-583324	-	6.4296
-581802	-	5.3794
-580278	+	8.9826
-578114	-	8.9826
-577840	+	7.7067
-577319	+	9.9155
-576935	+	5.4967
-575708	+	5.1755
-575019	-	6.1377
-574038	+	5.3778
-573855	+	6.2537
-573417	-	5.8396
-572792	+	8.1144
-571339	+	6.5100
-570392	-	6.0470
-569886	+	9.6542
-569863	-	5.9924
-569833	-	7.4429
-569635	-	5.3208
-569510	-	9.9155
-569414	-	5.0876
-569147	-	8.9826
-569019	-	5.8459
-568779	+	10.1780
-568580	+	6.7635
-568042	+	5.7856
-567919	-	7.0351
-564959	+	5.3794
-564744	+	9.9155
-562770	-	6.0205
-562483	+	7.8520
-562267	-	5.2049
-561842	+	6.1022
-561726	+	5.0876
-561397	+	9.9155
-560256	+	6.1022
-559886	-	5.8459
-559850	+	6.7724
-559755	+	7.4442
-559122	-	6.4561
-558486	-	7.7067
-558483	+	10.8484
-558357	-	5.3208
-558285	-	6.2550
-558272	-	7.1511
-557872	+	5.8293
-557795	-	5.7299
-557744	-	6.7724
-557575	-	6.2487
-557448	+	5.1141
-557195	-	6.5100
-557019	-	6.2550
-557002	-	6.0483
-556997	-	6.9812
-556259	-	6.9191
-556172	-	5.7286
-554955	-	11.3086
-554184	+	5.5771
-554066	+	6.1022
-553866	-	5.7655
-552785	-	10.3246
-552451	+	6.3107
-552443	+	7.1713
-551997	-	5.6392
-551328	-	6.1009
-549834	-	6.1009
-548577	-	5.1141
-548315	+	7.8226
-548067	-	7.8520
-548018	+	5.1141
-547831	-	10.1793
-547697	+	6.0218
-546936	+	6.0483
-546741	+	5.4967
-546638	-	9.9155
-546486	-	5.8396
-545975	-	6.5100
-545695	+	9.5064
-545511	-	6.5100
-545468	-	6.1009
-545100	-	6.2487
-545060	-	7.4429
-544884	+	5.8459
-544440	-	7.7067
-544437	+	6.5721
-544403	+	7.4442
-544378	-	6.5100
-544357	-	9.7702
-544354	+	5.9016
-544305	+	5.9045
-544278	+	5.7299
-544267	+	7.4429
-543798	-	5.3794
-543727	+	10.5871
-543344	-	7.8520
-543264	+	6.5721
-542951	+	6.3647
-542866	-	7.0972
-542845	-	7.0351
-542821	-	5.7299
-542331	+	5.8293
-541807	-	6.7738
-541790	+	7.1879
-541607	+	9.5064
-541485	-	7.4442
-541290	+	6.0483
-540948	+	5.9679
-540907	+	9.2451
-539307	+	5.5232
-538733	+	6.0205
-538461	-	6.0483
-537898	-	5.0876
-537423	-	6.0483
-537157	+	6.9191
-536587	+	6.3647
-536092	-	5.3208
-536074	-	6.2487
-536056	+	6.0483
-535824	-	5.1141
-535729	-	6.5175
-535656	-	6.2550
-535196	+	5.1141
-534198	+	5.7870
-533744	+	5.3500
-533646	+	7.1879
-533216	+	6.7724
-533100	+	8.1144
-533026	+	6.7724
-532846	-	6.0483
-532827	-	6.5175
-532820	+	5.7856
-531997	+	7.4429
-531747	+	6.0483
-531674	-	7.4429
-531646	+	5.1244
-531504	-	6.5100
-531337	-	6.3647
-531307	-	5.3208
-531209	+	5.3208
-531169	+	5.1141
-530916	-	5.2238
-530748	+	6.5100
-530568	+	6.4296
-530229	-	6.4561
-530077	+	7.8226
-530023	+	6.4561
-529556	-	6.7724
-529532	-	7.1816
-528585	-	8.9826
-528184	-	6.1377
-528135	-	5.0876
-528131	-	5.3794
-527809	+	6.0483
-527201	+	6.6628
-525978	+	8.5735
-524345	-	8.2012
-524282	-	5.8459
-524266	-	5.8459
-524128	+	6.5721
-524048	-	5.7591
-523849	+	5.6127
-522651	+	5.5601
-522495	+	6.5734
-522053	+	6.1009
-521802	-	6.9191
-521079	-	5.8459
-520435	-	6.2537
-519797	-	6.0470
-519267	+	5.8459
-519104	-	6.9191
-518923	+	12.3882
-518363	-	9.9155
-518120	-	9.9155
-517930	+	5.0876
-517672	-	7.8226
-517492	-	6.7724
-517002	+	7.0351
-516923	+	5.3794
-516066	-	5.7856
-516040	+	6.5734
-516022	+	6.3120
-516019	-	5.1755
-515793	+	6.2487
-515188	-	5.7856
-515175	-	5.1755
-514379	+	6.5734
-514253	-	5.8459
-514228	+	7.1511
-514059	-	7.1511
-513951	-	6.5734
-513802	-	6.7738
-513466	-	9.0447
-513461	-	5.3208
-513386	+	5.7299
-513312	+	7.1816
-513220	+	5.8459
-513199	-	5.9029
-513173	+	5.7856
-512997	+	6.7738
-512711	-	9.2451
-512679	-	5.3778
-512571	+	6.9825
-512255	+	5.0337
-512246	-	8.0853
-512232	+	5.2404
-512159	+	5.3778
-512129	-	5.3208
-511720	+	5.9029
-511717	-	6.5734
-511568	+	5.5587
-511331	+	5.0876
-511295	-	6.5721
-511162	+	8.3742
-511082	+	5.0950
-511053	+	7.1511
-510833	+	6.2550
-510739	+	6.1097
-510656	+	5.1510
-510622	+	9.2514
-510362	+	5.7591
-510347	-	7.1879
-510287	-	7.2873
-510204	+	9.2514
-510096	-	8.7834
-509818	-	5.7655
-509801	-	6.3107
-509461	-	6.5175
-509397	-	6.0483
-508992	+	11.8337
-508788	+	9.8861
-508651	+	6.1643
-508595	-	6.5175
-508588	+	11.3086
-508558	-	6.1083
-508555	+	11.3086
-508520	-	5.0950
-508492	+	6.1022
-508457	-	5.0950
-508429	+	5.2974
-508425	+	9.8861
-508308	+	6.3107
-508234	+	5.1755
-508185	-	5.0950
-508158	+	7.1816
-507872	+	10.1793
-507802	+	12.9132
-507754	+	9.5077
-507705	+	12.9132
-507657	+	9.5077
-507608	+	12.9132
-507560	+	9.5077
-507407	-	5.0950
-507400	+	5.7006
-507288	-	6.3120
-507201	+	9.9155
-507162	-	6.2537
-507135	-	5.0950
-507107	+	5.2974
-507103	+	9.8861
-507028	+	9.0447
-506987	+	6.3107
-506846	+	11.3086
-506534	-	5.0950
-506385	+	15.3846
-506208	-	6.5175
-506107	-	6.1009
-506079	-	5.7655
-506068	-	5.7870
-506051	+	6.1009
-505938	-	6.3120
-505889	+	7.0972
-505860	-	12.9119
-505857	+	6.7724
-505794	+	6.5100
-505438	+	10.4112
-505345	-	9.7702
-505342	+	8.8360
-505215	+	6.3710
-505151	+	10.5566
-505112	-	6.7738
-504957	+	5.3778
-504902	-	5.7299
-504730	+	6.9825
-504622	-	6.2550
-504535	-	6.5734
-504488	-	6.2550
-504432	+	8.3771
-504321	-	6.9812
-504117	-	6.9191
-503512	-	5.5232
-503397	-	8.9826
-503290	+	6.5175
-503264	-	5.8459
-502756	-	8.0853
-502673	-	9.9155
-502655	-	6.7635
-502360	-	7.4429
-502333	-	6.4561
-501829	-	5.3513
-501808	+	6.3710
-501744	+	10.5566
-501705	-	6.7738
-501550	+	5.3778
-501495	-	5.7299
-501396	-	5.3778
-501323	+	6.9825
-501215	-	6.2550
-501128	-	6.5734
-501081	-	6.2550
-501025	+	7.7067
-500972	+	5.8459
-500937	-	5.7299
-500857	+	6.5175
-500824	+	5.7856
-500815	+	12.6506
-500290	+	6.5100
-500037	+	5.4967
-499982	+	5.1244
-499679	+	5.8459
-499641	+	6.5175
-499543	+	5.8459
-499342	-	9.2451
-499106	+	9.2451
-499098	+	6.1377
-499045	-	5.5771
-499004	-	9.4538
-498693	-	5.8293
-498429	-	7.1511
-497763	+	6.3107
-497632	+	8.2012
-497542	+	6.9825
-497437	+	6.7724
-497304	-	6.2550
-497009	+	9.9155
-496736	-	6.5734
-496027	+	5.3794
-495773	+	5.8459
-495759	-	5.8459
-495435	+	6.6628
-495286	+	12.3882
-495102	-	12.3882
-495027	+	13.3210
-494998	+	8.5196
-494857	+	5.8459
-494648	-	5.7591
-494415	-	5.3208
-494092	+	5.2238
-493735	+	5.8459
-493732	-	6.3120
-493240	-	7.0351
-492816	-	6.2487
-492592	+	6.5175
-492542	-	6.5734
-492523	-	6.4806
-492280	-	5.8396
-492060	-	5.8293
-491942	-	6.5734
-491916	+	5.7856
-491267	+	8.5735
-491042	+	6.7801
-490796	+	5.6392
-490639	+	5.0876
-490635	+	6.1022
-490542	-	5.9924
-490321	+	9.5077
-489888	+	5.3208
-489715	+	9.5077
-489560	-	5.8459
-489276	+	7.4442
-489219	+	9.5077
-489172	+	6.7738
-489058	-	5.7299
-488654	+	5.0337
-488649	-	6.5175
-488428	+	5.4967
-488248	+	5.7299
-488061	+	6.9191
-487931	-	6.3120
-487895	+	9.2451
-487598	+	5.0876
-487514	+	6.9812
-487456	-	5.3513
-487137	-	7.0972
-486453	+	11.8337
-486294	+	6.0483
-486286	+	10.1780
-486225	-	5.5771
-486185	-	9.4538
-486110	+	5.3778
-485888	-	5.8293
-485855	-	5.6392
-485626	-	7.1511
-485226	+	6.0218
-485088	+	6.5721
-485082	-	9.2451
-485044	-	5.8459
-484920	+	8.0840
-483842	-	5.8459
-483435	-	5.3208
-483222	-	5.5771
-483036	-	7.1816
-483033	+	6.5100
-482698	-	9.0447
-481985	-	7.0351
-481971	-	6.1377
-481959	+	5.7856
-481698	-	5.0582
-481054	+	5.1141
-480797	+	6.4561
-480648	+	9.2451
-480472	+	8.7849
-480459	-	6.7724
-480379	-	9.2451
-479965	-	6.5100
-479962	+	6.7724
-479942	+	5.3794
-479480	+	7.8226
-479403	-	7.1713
-478863	+	5.7299
-478686	-	5.3794
-478523	+	6.9825
-478421	+	5.9029
-478366	-	5.6392
-478105	-	7.1879
-477889	+	7.0985
-477491	-	6.0483
-477468	-	6.5721
-477333	+	9.0447
-477148	+	6.9191
-476928	-	5.3564
-476925	+	5.7856
-476434	+	7.3625
-476321	-	6.2550
-476318	+	6.5175
-476309	+	5.7856
-476191	-	6.9825
-475827	+	8.0840
-475543	+	8.5735
-475285	-	6.5734
-475259	+	5.7856
-474206	+	10.1793
-474042	+	6.3107
-473865	+	5.8459
-473846	-	12.9132
-473708	-	5.0950
-473275	+	5.9045
-473268	-	6.1377
-472850	-	6.7788
-472671	+	6.5175
-472599	+	5.3778
-472497	+	5.9924
-472146	+	5.8293
-471965	-	6.5734
-471939	+	5.7856
-471476	+	6.3647
-471316	+	6.3107
-470982	-	12.6506
-470912	-	8.7263
-470822	-	8.5810
-470774	-	9.4538
-470240	+	6.5734
-470225	+	6.4806
-470192	-	5.3208
-470079	-	6.9191
-469744	-	7.4429
-469710	-	7.8226
-469617	+	8.7263
-469415	-	6.9812
-469374	-	5.8459
-469267	-	6.5175
-469125	+	6.1377
-469068	+	11.0817
-468878	-	6.7801
-468855	+	5.3778
-468540	+	5.8764
-468473	-	9.2514
-468408	+	7.1816
-468362	+	5.3794
-468250	-	7.0351
-467049	-	5.7856
-466958	-	6.5734
-466822	-	6.5734
-466355	-	8.7263
-466348	+	5.8459
-466200	-	6.5175
-466182	-	6.0483
-466156	+	5.7856
-465597	+	6.5734
-465579	+	8.9826
-465434	-	6.6273
-464913	+	6.3107
-464891	-	6.9191
-464851	-	9.2514
-464708	+	5.6392
-464655	-	6.0483
-464568	+	7.3903
-464025	-	6.9191
-413829	-	12.9132
-413540	+	5.9924
-413518	+	7.1713
-413016	+	5.0337
-413011	-	5.1141
-412951	+	5.8293
-412713	-	5.9924
-412613	-	9.2451
-412543	-	5.6392
-412239	+	5.4967
-412176	-	5.9029
-411973	+	7.0985
-411274	-	6.7801
-411254	+	5.4938
-411052	+	9.5064
-410918	+	6.2550
-410690	-	9.2451
-410621	-	5.8459
-410490	+	5.3778
-410449	+	10.5871
-410028	-	6.5100
-409973	+	5.3778
-409562	-	6.0483
-409536	+	5.7856
-409406	-	5.5601
-409329	-	6.2487
-409326	+	5.3564
-409259	-	6.0483
-409233	+	5.7856
-409111	-	5.0950
-408972	+	5.0876
-408503	+	5.1755
-408500	-	6.3120
-408484	-	9.5077
-408344	-	5.0950
-408116	-	9.2451
-407736	-	5.8459
-407700	-	5.9029
-407574	-	6.0483
-407529	+	5.9924
-407429	-	5.6392
-407422	-	8.7834
-407316	-	5.3208
-406234	-	6.7801
-406202	-	6.5175
-406198	-	6.5175
-406195	+	7.1879
-406158	-	5.6392
-406094	-	5.7870
-405690	+	8.7834
-405671	+	5.8459
-405281	-	6.3107
-404748	-	5.1755
-404711	-	6.7788
-404680	-	10.1780
-404677	+	6.7622
-404577	-	5.3208
-403993	+	6.7724
-403983	-	5.0876
-402554	+	5.0950
-402441	-	5.7856
-402415	+	6.5734
-400737	+	7.1879
-400468	+	6.5734
-399666	+	5.3794
-399367	+	8.8373
-398716	+	6.4561
-398602	-	15.3846
-398342	-	7.5308
-398198	-	7.1816
-397887	+	6.1097
-397843	+	6.5175
-397409	+	9.5077
-397137	+	5.1141
-396807	-	5.6392
-396787	-	7.1816
-396751	+	5.6392
-396633	-	8.9826
-396493	-	8.7263
-396399	-	6.2487
-396176	-	5.3208
-396034	-	6.7788
-396031	+	9.2451
-396022	+	6.2550
-395973	+	6.9812
-395962	-	7.4429
-395814	-	6.0483
-395674	-	5.0950
-395503	+	9.2514
-395364	-	6.5721
-394505	-	10.8203
-394141	+	11.9790
-394041	-	7.9031
-394009	+	5.3208
-393783	-	8.5735
-393625	-	6.3120
-393590	-	6.5175
-393435	-	9.5077
-393403	-	8.9826
-393394	+	8.7263
-393362	+	8.7263
-393318	-	5.3778
-393060	-	9.5077
-392980	-	5.9924
-392488	-	5.0876
-392271	+	7.1816
-392267	+	6.2487
-392025	-	10.0315
-392002	-	5.2238
-391790	-	5.7870
-391736	+	11.2281
-391509	-	8.1144
-391294	-	5.3208
-391101	+	10.5566
-391093	+	6.7198
-389281	-	5.9029
-388967	+	12.6506
-388917	-	15.3846
-388870	-	8.7834
-388817	+	6.5175
-387237	+	5.8459
-386814	-	6.5734
-386535	-	7.1816
-386515	-	5.9029
-386315	-	6.9812
-386172	+	6.9812
-385720	-	5.1141
-385634	+	15.3846
-385313	-	6.5175
-385230	+	5.8459
-385227	-	6.3120
-385219	-	9.0447
-385209	-	6.5734
-385186	-	6.5721
-384935	-	6.6628
-384908	+	9.8861
-384719	-	6.4574
-384221	+	11.9790
-384141	+	7.5063
-384120	-	8.7263
-384051	+	10.5566
-383631	+	5.1141
-383592	-	5.8459
-382967	-	5.8459
-382703	+	5.3208
-382432	-	7.4429
-382406	+	9.2451
-382138	-	5.9924
-381790	+	5.7299
-381592	+	5.0950
-381435	+	5.3778
-381323	-	6.2550
-381214	+	5.3794
-380686	+	6.0205
-380636	-	6.9191
-380437	+	9.5077
-380387	-	9.0447
-380272	+	9.2451
-379785	-	8.2317
-379520	+	6.5100
-379511	+	5.8459
-379350	-	9.5077
-379031	+	9.9155
-378812	-	7.1816
-378797	-	6.7198
-378780	+	7.1713
-378432	-	6.7724
-378421	-	6.1009
-378222	-	5.6392
-377472	-	5.6392
-377371	-	9.4538
-377149	+	5.1510
-377064	+	6.5100
-376891	-	9.9155
-376879	-	11.4908
-376724	-	5.0595
-376605	-	7.1816
-376551	+	6.9812
-376269	+	6.7738
-376092	-	8.0853
-376023	+	6.5734
-375826	-	5.3208
-374939	-	8.2012
-374672	+	6.4561
-374261	-	5.2238
-374201	-	9.7702
-374175	+	6.5734
-374157	+	5.7870
-373910	-	5.2238
-373702	-	5.1244
-373632	-	6.0483
-373625	+	6.7198
-373588	-	5.2238
-373158	-	5.7856
-373132	+	5.9029
-373116	+	6.3120
-373113	-	5.1755
-373062	+	6.3120
-372465	-	6.2487
-372315	+	5.6392
-372232	+	5.8459
-371773	-	10.1793
-371654	-	5.8293
-371547	+	6.2842
-371353	+	6.7738
-371333	+	5.3778
-371286	-	6.5100
-370939	+	6.5100
-370926	-	6.5100
-370730	+	9.5077
-370426	-	12.3882
-370281	+	7.4429
-369986	+	5.1755
-369914	-	7.4442
-369654	+	6.4561
-369594	+	11.8986
-369488	+	6.7724
-369355	+	7.1816
-369312	-	5.3794
-369135	-	6.6628
-368921	+	10.2953
-368813	+	7.5308
-368573	-	6.1097
-368557	-	6.7724
-368215	-	5.5587
-367962	+	6.1643
-367229	-	5.8396
-366980	-	10.4406
-366854	+	8.3742
-366812	-	5.3500
-366528	+	7.8520
-366366	+	6.7738
-366259	+	6.8358
-366153	+	7.4442
-366062	+	7.4442
-365675	+	6.7738
-364579	-	6.9191
-364461	-	6.0483
-363797	-	7.0985
-363771	+	5.8459
-363493	-	5.8293
-362971	-	11.9790
-362684	-	5.8396
-362677	-	6.2550
-362395	+	6.5100
-362245	-	5.0337
-362202	-	6.0483
-362183	-	5.9924
-362176	+	5.7856
-362057	-	5.0950
-361628	+	7.4148
-361609	+	7.1713
-361564	-	6.5175
-361335	-	6.9812
-360390	+	9.5077
-359937	+	5.7870
-359532	+	5.0350
-359368	+	5.3208
-359278	-	7.8520
-358854	+	6.5734
-358051	+	6.6628
-358039	+	5.0337
-357954	+	6.7724
-357633	-	9.5077
-357419	+	9.4538
-357395	-	6.7738
-356993	+	7.1511
-356876	-	5.8396
-356678	-	6.4574
-355270	-	7.4429
-355192	+	5.0876
-354525	+	6.5734
-354506	-	9.7702
-354337	-	5.3208
-353771	+	8.5196
-353766	-	6.4561
-353523	+	6.7622
-353267	-	9.5064
-352742	-	5.7870
-352734	-	5.6392
-352724	-	6.5734
-351950	-	6.5734
-351924	+	5.7856
-351268	+	5.7856
-350955	-	8.3122
-350763	-	5.1244
-350714	-	11.4895
-350122	-	9.2451
-349964	-	5.7856
-349938	+	6.5734
-349871	+	10.5871
-349346	-	9.5077
-349046	-	6.0470
-348598	-	6.9191
-348586	+	11.2575
-348532	+	6.5456
-347577	-	6.4296
-346063	-	5.3794
-344539	+	8.9826
-342373	-	8.9826
-342099	+	7.7067
-341578	+	9.9155
-341194	+	5.4967
-339967	+	5.1755
-339278	-	6.1377
-338297	+	5.3778
-338114	+	6.2537
-337676	-	5.8396
-337051	+	8.1144
-335598	+	6.5100
-334651	-	6.0470
-334145	+	9.6542
-334122	-	5.9924
-334092	-	7.4429
-333894	-	5.3208
-333768	-	9.9155
-333672	-	5.0876
-333405	-	8.9826
-333276	-	5.8459
-333036	+	10.1780
-332837	+	6.7635
-332300	+	5.7856
-332177	-	7.0351
-332029	-	5.3794
-329981	+	5.3794
-329765	+	9.9155
-327791	-	6.0205
-327504	+	7.8520
-327288	-	5.2049
-326863	+	6.1022
-326747	+	5.0876
-326418	+	9.9155
-325277	+	6.1022
-324910	-	5.8459
-324874	+	6.7724
-324779	+	7.4442
-324146	-	6.4561
-323510	-	7.7067
-323507	+	10.8484
-323381	-	5.3208
-323309	-	6.2550
-323296	-	7.1511
-322896	+	5.8293
-322819	-	5.7299
-322768	-	6.7724
-322599	-	6.2487
-322472	+	5.1141
-322219	-	6.5100
-322043	-	6.2550
-322026	-	6.0483
-322021	-	6.9812
-321283	-	6.9191
-321196	-	5.7286
-319979	-	11.9790
-319208	+	5.5771
-319090	+	6.1022
-318890	-	5.7655
-317809	-	10.3246
-317475	+	6.3107
-317467	+	7.1713
-317021	-	5.6392
-316352	-	6.1009
-314858	-	6.1009
-313601	-	5.1141
-313339	+	7.8226
-313091	-	7.8520
-313042	+	5.1141
-312855	-	10.1793
-312721	+	6.0218
-311960	+	6.0483
-311765	+	5.4967
-311662	-	9.9155
-311510	-	5.8396
-311001	-	6.5100
-310721	+	9.5064
-310537	-	6.5100
-310494	-	6.1009
-310126	-	6.2487
-310086	-	7.4429
-309467	-	7.7067
-309464	+	6.5721
-309430	+	7.4442
-309405	-	6.5100
-309384	-	9.7702
-309381	+	5.9016
-309332	+	5.9045
-309305	+	5.7299
-309294	+	7.4429
-308825	-	5.3794
-308754	+	10.5871
-308373	-	7.8520
-308293	+	6.5721
-307980	+	6.3647
-307895	-	7.0972
-307850	-	5.7299
-307360	+	5.8293
-306836	-	6.7738
-306819	+	6.7801
-306636	+	9.5064
-306514	-	7.4442
-306319	+	6.0483
-305977	+	5.9679
-305936	+	9.2451
-304336	+	5.5232
-303762	+	6.0205
-303490	-	6.0483
-302927	-	5.0876
-302447	-	6.0483
-302181	+	6.9191
-301611	+	6.3647
-301116	-	5.3208
-301098	-	6.2487
-301080	+	6.0483
-300848	-	5.1141
-300753	-	6.5175
-300680	-	6.2550
-300220	+	5.1141
-299222	+	5.7870
-298768	+	5.3500
-298670	+	7.1879
-298240	+	6.7724
-298124	+	8.1144
-298051	+	6.7724
-297871	-	6.0483
-297852	-	6.5175
-297845	+	5.7856
-297020	+	7.4429
-296770	+	6.0483
-296697	-	7.4429
-296669	+	5.1244
-296527	-	6.5100
-296360	-	6.3647
-296330	-	5.3208
-296232	+	5.3208
-296192	+	5.1141
-295939	-	5.2238
-295771	+	6.5100
-295100	+	7.8226
-295046	+	6.4561
-294579	-	6.7724
-294555	-	7.1816
-293608	-	8.9826
-293206	-	6.1377
-293157	-	5.0876
-293153	-	5.3794
-292831	+	6.0483
-292223	+	6.6628
-291000	+	8.5735
-289367	-	8.2012
-289304	-	5.8459
-289288	-	5.8459
-289150	+	6.5721
-289070	-	5.7591
-288871	+	5.6127
-287705	+	5.5601
-287549	+	6.5734
-287107	+	6.1009
-286856	-	6.9191
-286135	-	5.8459
-285439	-	6.2537
-284801	-	6.0470
-284271	+	5.8459
-284115	-	6.9191
-283934	+	12.3882
-283374	-	9.9155
-283131	-	9.9155
-282941	+	5.0876
-282686	-	6.2550
-282502	-	6.7724
-282008	+	7.0351
-281929	+	5.3794
-281073	-	5.7856
-281047	+	6.5734
-281029	+	6.3120
-281026	-	5.1755
-280800	+	6.2487
-280196	-	5.7856
-280183	-	5.1755
-279387	+	6.5734
-279262	-	5.8459
-279237	+	7.1511
-279068	-	7.1511
-278960	-	6.5734
-278811	-	6.7738
-278475	-	9.0447
-278470	-	5.3208
-278395	+	5.7299
-278321	+	7.1816
-278229	+	5.8459
-278208	-	5.9029
-278182	+	5.7856
-278006	+	6.7738
-277714	-	9.2451
-277574	+	6.9825
-277258	+	5.0337
-277249	-	8.0853
-277235	+	5.2404
-277162	+	5.3778
-277132	-	5.3208
-276723	+	5.9029
-276720	-	6.5734
-276571	+	5.5587
-276334	+	5.0876
-276298	-	6.5721
-276165	+	9.0447
-276085	+	5.0950
-276056	+	7.1511
-275836	+	6.2550
-275742	+	6.1097
-275659	+	5.1510
-275625	+	9.2514
-275365	+	5.7591
-275290	-	7.2873
-275207	+	9.2514
-275099	-	8.7834
-274815	-	5.7655
-274798	-	6.3107
-274458	-	6.5175
-274394	-	6.0483
-273989	+	11.8337
-273785	+	9.8861
-273648	+	6.1643
-273592	-	6.5175
-273585	+	11.3086
-273555	-	6.1083
-273552	+	11.3086
-273517	-	5.0950
-273489	+	6.1022
-273454	-	5.0950
-273426	+	5.2974
-273422	+	9.8861
-273305	+	6.3107
-273231	+	5.1755
-273182	-	5.0950
-273155	+	9.2451
-272869	+	10.1793
-272799	+	12.9132
-272751	+	7.0351
-272702	+	12.9132
-272654	+	9.5077
-272501	-	5.0950
-272494	+	5.7006
-272382	-	6.3120
-272295	+	9.9155
-272256	-	6.2537
-272229	-	5.0950
-272201	+	5.2974
-272197	+	9.8861
-272122	+	9.0447
-272081	+	6.3107
-271940	+	11.3086
-271628	-	5.0950
-271479	+	15.3846
-271302	-	6.5175
-271201	-	6.1009
-271173	-	5.7655
-271162	-	5.7870
-271145	+	6.1009
-271032	-	6.3120
-270983	+	7.0972
-270954	-	12.9119
-270951	+	6.7724
-270888	+	8.5735
-270532	+	11.0817
-270439	-	9.7702
-270436	+	8.8360
-270309	+	6.3710
-270245	+	10.5566
-270206	-	6.7738
-270051	+	5.3778
-269996	-	5.7299
-269897	-	5.3778
-269824	+	6.9825
-269716	-	6.2550
-269629	-	6.5734
-269582	-	6.2550
-269526	+	7.7067
-269415	-	6.9812
-269211	-	6.9191
-268606	-	5.5232
-268491	-	8.9826
-268384	+	6.5175
-268358	-	5.8459
-267848	-	8.0853
-267765	-	9.9155
-267747	-	6.7635
-267452	-	7.4429
-267425	-	6.4561
-266921	-	5.3513
-266900	+	6.3710
-266836	+	10.5566
-266797	-	6.7738
-266642	+	5.3778
-266587	-	5.7299
-266415	+	6.9825
-266307	-	6.2550
-266220	-	6.5734
-266173	-	6.2550
-266007	-	6.9812
-265803	-	6.9191
-265198	-	5.5232
-265083	-	8.9826
-264976	+	6.5175
-264950	-	5.8459
-264442	-	8.0853
-264359	-	9.9155
-264341	-	6.7635
-264046	-	7.4429
-264019	-	6.4561
-263515	-	5.3513
-263494	+	6.3710
-263430	+	10.5566
-263391	-	6.7738
-263236	+	5.3778
-263181	-	5.7299
-263009	+	6.9825
-262901	-	6.2550
-262814	-	6.5734
-262767	-	6.2550
-262711	+	7.7067
-262600	-	6.9812
-262396	-	6.9191
-261791	-	5.5232
-261674	-	8.9826
-261567	+	6.5175
-261541	-	5.8459
-261031	-	8.0853
-260943	-	9.9155
-260925	-	6.7635
-260630	-	7.4429
-260603	-	6.4561
-260078	+	6.3710
-260014	+	10.5566
-259975	-	6.7738
-259820	+	5.3778
-259765	-	5.7299
-259666	-	5.3778
-259593	+	6.9825
-259485	-	6.2550
-259398	-	6.5734
-259351	-	6.2550
-259295	+	7.7067
-259242	+	5.8459
-259207	-	5.7299
-259127	+	6.5175
-259094	+	5.7856
-259085	+	12.6506
-258560	+	6.5100
-258307	+	5.4967
-258252	+	5.1244
-257949	+	5.8459
-257911	+	6.5175
-257813	+	5.8459
-257612	-	9.2451
-257376	+	9.2451
-257368	+	6.1377
-257315	-	5.5771
-257274	-	9.4538
-256963	-	5.8293
-256699	-	7.1511
-256033	+	6.3107
-255902	+	8.2012
-255812	+	6.9825
-255707	+	6.7724
-255574	-	6.2550
-255279	+	9.9155
-255022	-	6.5734
-254312	+	5.3794
-254058	+	5.8459
-254044	-	5.8459
-253720	+	6.6628
-253571	+	12.3882
-253387	-	12.3882
-253312	+	13.3210
-253283	+	8.5196
-252933	-	5.7591
-252699	-	5.3208
-252381	+	5.2238
-252024	+	5.8459
-252021	-	6.3120
-251529	-	7.0351
-251104	-	6.2487
-250880	+	6.5175
-250830	-	6.5734
-250811	-	6.4806
-250568	-	5.8396
-250348	-	5.8293
-250230	-	6.5734
-250204	+	5.7856
-249555	+	8.5735
-249330	+	6.7801
-249084	+	5.6392
-248927	+	5.0876
-248923	+	6.1022
-248830	-	5.9924
